,zipcode_98168,zipcode_98055,zipcode_98112,zipcode_98075,zipcode_98022,space_land_15,zipcode_98038,view_qual_3,zipcode_98102,zipcode_98105,zipcode_98042,zipcode_98030,see_sea,zipcode_98119,zipcode_98002,bathrooms,bedrooms,zipcode_98058,zipcode_98006,zipcode_98001,floors,space_above,view_qual_2,zipcode_98198,zipcode_98031,space_int_15,zipcode_98005,view_qual_4,zipcode_98109,lat,yr_renovated,zipcode_98003,zipcode_98004,zipcode_98023,zipcode_98040,zipcode_98092,grade,zipcode_98106,zipcode_98033,house_age,zipcode_98133,view_qual_1,land_space,view_qual_0,zipcode_98178,interior_space,zipcode_98199,zipcode_98039,sqft_basement
3925,0,0,0,0,0,59677,0,0,0,0,1,0,0,0,0,3.0,6,0,0,0,2.0,2330,0,0,0,2380,0,0,0,47.401,1985,0,0,0,0,0,7,0,0,25,0,0,206474,1,0,2870,0,0,540
5444,0,0,0,0,0,4698,1,0,0,0,0,0,0,0,0,2.5,3,0,0,0,2.0,1580,0,0,0,2070,0,0,0,47.3539,0,0,0,0,0,0,7,0,0,1998,0,0,4698,1,0,1580,0,0,0
14113,0,0,0,0,1,9126,0,0,0,0,0,0,0,0,0,1.0,2,0,0,0,1.0,940,0,0,0,1110,0,0,0,47.2005,0,0,0,0,0,0,7,0,0,1955,0,0,8997,1,0,940,0,0,0
4949,0,0,0,0,1,98881,0,0,0,0,0,0,0,0,0,2.75,3,0,0,0,1.0,1820,0,0,0,2580,0,0,0,47.2604,0,0,0,0,0,0,7,0,0,1988,0,0,41250,1,0,3360,0,0,1540
8792,0,0,0,0,0,5500,0,1,0,0,0,0,0,0,0,2.5,4,0,0,0,1.0,2030,0,0,0,3790,0,0,0,47.6406,0,0,0,0,0,0,10,0,0,1957,0,0,5500,0,0,2920,1,0,890
14552,0,0,0,0,0,11374,0,0,0,0,0,0,0,0,0,2.25,3,0,0,0,1.0,1200,0,0,0,1660,0,0,0,47.6254,0,0,0,0,0,0,7,0,0,1981,0,0,12177,1,0,1580,0,0,380
2471,0,0,0,0,0,3656,0,0,0,0,0,0,0,0,0,1.0,2,0,0,0,1.0,780,0,0,0,1380,0,0,0,47.6715,0,0,0,0,0,0,7,0,0,1922,0,0,3420,1,0,1080,0,0,300
3325,0,0,0,0,0,35775,0,0,0,0,1,0,0,0,0,3.0,5,0,0,0,1.5,3800,0,0,0,2580,0,0,0,47.3488,0,0,0,0,0,0,9,0,0,1984,0,0,42316,1,0,3800,0,0,0
14966,0,0,0,0,0,6099,0,0,0,0,0,0,0,0,0,2.75,4,0,0,0,1.0,1560,0,0,0,2600,0,0,0,47.6782,0,0,0,0,0,0,8,0,0,1976,0,0,4674,1,0,2600,0,0,1040
12289,0,0,0,0,0,9750,1,0,0,0,0,0,0,0,0,1.75,2,0,0,0,1.0,1210,0,0,0,1650,0,0,0,47.3438,0,0,0,0,0,0,7,0,0,1984,0,0,9750,1,0,1210,0,0,0
6267,0,0,0,0,0,4652,0,0,0,0,0,0,0,0,0,2.25,3,0,0,0,2.0,1660,0,0,0,1680,0,0,0,47.7362,0,0,0,0,0,0,7,0,0,2001,0,0,5128,1,0,1660,0,0,0
14438,0,0,0,0,0,7540,1,0,0,0,0,0,0,0,0,1.75,2,0,0,0,1.0,1320,0,0,0,1570,0,0,0,47.3634,0,0,0,0,0,0,7,0,0,1968,0,0,7540,1,0,1320,0,0,0
3937,0,0,0,0,0,8171,0,0,0,0,0,0,0,0,0,1.5,3,0,0,0,1.0,1200,0,0,0,1800,0,0,0,47.7693,0,0,0,0,0,0,7,0,0,1957,1,0,8303,1,0,1800,0,0,600
13225,0,0,0,1,0,31798,0,0,0,0,0,0,0,0,0,2.25,4,0,0,0,2.0,2470,0,0,0,2470,0,0,0,47.5924,0,0,0,0,0,0,8,0,0,1979,0,0,17008,1,0,2470,0,0,0
11288,0,0,0,0,0,6525,0,0,0,0,0,0,0,0,0,2.25,3,0,0,0,1.0,770,0,0,0,1680,0,0,0,47.6942,0,0,0,0,0,0,7,0,0,1954,0,0,5338,1,0,1540,0,0,770
2267,0,0,0,0,0,17287,0,0,0,0,0,0,0,0,0,4.0,5,0,0,0,2.0,4360,0,0,0,3260,0,0,0,47.5922,0,0,1,0,0,0,12,0,0,2004,0,1,16065,0,0,6300,0,0,1940
5405,0,1,0,0,0,5942,0,0,0,0,0,0,0,0,0,3.5,4,0,0,0,2.0,2100,0,0,0,2280,0,0,0,47.4612,0,0,0,0,0,0,8,0,0,1999,0,0,6781,1,0,2720,0,0,620
16143,0,0,0,0,0,10425,0,0,0,0,0,0,0,0,0,1.0,3,0,0,0,1.0,1440,0,0,0,1440,0,0,0,47.2738,0,1,0,0,0,0,7,0,0,1968,0,0,11925,1,0,1440,0,0,0
7663,0,0,0,0,0,9520,0,0,0,0,0,0,0,0,0,3.0,5,0,0,0,1.0,2250,0,0,0,1890,0,0,0,47.6363,2002,0,1,0,0,0,9,0,0,49,0,0,9520,1,0,3950,0,0,1700
16914,0,0,0,0,0,144619,0,0,0,0,0,0,0,0,0,1.75,3,0,0,0,1.0,1610,0,0,0,2220,0,0,0,47.5659,0,0,0,0,0,0,7,0,0,1977,0,0,144619,1,0,1610,0,0,0
14528,0,0,0,0,0,8500,0,0,0,0,0,0,0,0,0,2.75,5,0,0,0,1.0,1400,0,0,0,1750,0,0,0,47.3084,0,0,0,1,0,0,7,0,0,1969,0,0,7600,1,0,2300,0,0,900
21047,0,0,0,0,0,942,0,0,0,0,0,0,0,0,0,2.0,4,0,0,0,3.0,1390,0,0,0,1390,0,0,0,47.5393,0,0,0,0,0,0,7,0,0,2008,0,0,745,1,0,1390,0,0,0
10682,0,0,0,0,0,6189,0,0,0,0,0,0,0,0,0,2.5,4,0,0,0,2.0,2310,0,0,0,2310,0,0,0,47.5197,0,0,0,0,0,0,9,0,0,2003,0,0,5573,1,0,2310,0,0,0
14792,0,0,0,0,0,7391,0,0,0,0,0,0,0,0,0,1.5,3,0,0,0,1.0,1340,0,1,0,1300,0,0,0,47.3837,0,0,0,0,0,0,7,0,0,1966,0,0,7391,1,0,1340,0,0,0
21072,0,0,0,0,0,5200,0,0,0,0,0,0,0,0,0,3.25,5,0,0,0,2.0,2500,1,0,0,3220,0,0,0,47.5193,0,0,0,0,0,0,9,0,0,2014,0,0,4900,0,0,3340,0,0,840
20514,0,0,0,0,0,1201,0,0,0,1,0,0,0,0,0,2.25,3,0,0,0,2.5,880,0,0,0,1030,0,0,0,47.6605,0,0,0,0,0,0,8,0,0,2009,0,0,736,1,0,990,0,0,110
14597,0,0,0,0,0,10614,1,0,0,0,0,0,0,0,0,2.5,3,0,0,0,1.0,1690,0,0,0,1420,0,0,0,47.3634,0,0,0,0,0,0,7,0,0,1980,0,0,9900,1,0,2170,0,0,480
14074,0,0,0,0,0,12112,0,0,0,0,0,0,0,0,0,2.25,3,0,0,0,2.0,2090,0,0,0,1760,0,0,0,47.7015,0,0,0,0,0,0,8,0,0,1983,0,0,12112,1,0,2090,0,0,0
16457,0,0,0,1,0,10983,0,0,0,0,0,0,0,0,0,2.5,3,0,0,0,2.0,3140,0,0,0,3140,0,0,0,47.5595,0,0,0,0,0,0,10,0,0,1991,0,0,10983,1,0,3140,0,0,0
11723,0,0,0,0,0,14400,0,0,0,0,0,0,0,0,0,1.75,4,0,1,0,1.0,1510,0,0,0,2230,0,0,0,47.56,0,0,0,0,0,0,8,0,0,1958,0,0,10714,1,0,3020,0,0,1510
18764,0,0,0,0,0,4972,0,0,0,0,0,0,0,0,0,3.0,3,0,0,0,2.0,2630,0,0,0,2880,0,0,0,47.693,0,0,0,0,0,0,9,0,0,2006,0,0,4972,1,0,2630,0,0,0
17299,0,0,0,0,0,8000,0,0,0,0,0,0,0,0,0,1.0,2,0,0,0,1.0,800,0,0,0,1530,0,0,0,47.7257,0,0,0,0,0,0,6,0,0,1954,0,0,6240,1,0,800,0,0,0
17708,0,0,0,0,0,22387,0,0,0,0,0,0,0,0,0,2.0,4,1,0,0,1.0,1764,0,0,0,1490,0,0,0,47.4318,0,0,0,0,0,0,7,0,0,1942,0,0,15600,1,0,1764,0,0,0
9805,0,0,0,0,0,6618,0,0,0,0,0,0,0,0,0,1.75,3,0,0,0,1.0,1070,0,0,0,2510,0,0,0,47.4973,0,0,0,0,0,0,7,0,0,1959,0,0,6632,1,1,1540,0,0,470
15931,0,0,0,0,0,5000,0,0,0,0,0,0,0,0,0,1.75,3,0,0,0,2.0,1980,0,0,0,2020,0,0,0,47.6666,2010,0,0,0,0,0,7,0,0,90,0,0,5000,1,0,2120,0,0,140
8747,0,0,0,0,0,6180,0,0,0,0,0,0,0,0,0,1.0,3,0,0,0,1.5,1250,0,0,0,1490,0,0,0,47.7474,0,0,0,0,0,0,7,0,0,1955,0,0,6180,1,0,1250,0,0,0
18995,0,0,0,0,0,8820,0,0,0,0,0,0,0,0,0,1.0,3,0,0,0,1.0,880,0,0,0,1100,0,0,0,47.4949,0,0,0,0,0,0,6,0,0,1942,0,0,10800,1,0,880,0,0,0
19964,0,0,0,0,0,4050,0,0,0,0,0,0,0,0,0,2.5,3,0,0,0,2.0,2550,0,0,0,2250,0,0,0,47.6647,0,0,0,0,0,0,9,0,0,2004,0,0,5376,1,0,2550,0,0,0
18245,0,0,0,0,0,3131,0,0,0,0,0,0,0,0,0,2.5,3,0,0,0,2.0,1440,0,0,0,1600,0,0,0,47.6873,0,0,0,0,0,0,7,0,0,2001,0,0,3840,1,0,1440,0,0,0
1532,0,0,0,0,0,1760,0,0,0,0,0,0,0,0,0,2.5,3,0,0,0,2.0,1410,0,0,0,1690,0,0,0,47.5389,0,0,0,0,0,0,8,1,0,2013,0,0,1200,1,0,1690,0,0,280
7333,0,0,0,0,0,29972,0,0,0,0,0,0,0,0,0,2.25,3,0,0,1,2.0,2520,0,0,0,1490,0,0,0,47.3514,0,0,0,0,0,0,9,0,0,1988,0,0,78408,1,0,2520,0,0,0
17191,0,0,0,0,0,5251,0,0,0,0,0,0,0,0,0,3.5,4,0,0,0,2.0,4270,0,0,0,2610,0,0,0,47.5352,0,0,0,0,0,0,9,0,0,2008,0,0,117176,1,0,4270,0,0,0
15320,0,0,0,0,0,82328,0,0,0,0,0,0,0,0,0,1.75,3,0,0,0,1.0,1450,0,0,0,2256,0,0,0,47.3343,0,0,0,0,0,1,8,0,0,1976,0,0,61419,1,0,1450,0,0,0
19171,0,0,0,0,0,10200,0,0,0,0,0,0,0,0,0,1.0,3,0,0,0,1.0,1060,0,0,0,1920,0,0,0,47.6736,0,0,0,0,0,0,7,0,1,1969,0,0,12690,1,0,1060,0,0,0
19458,0,0,0,0,0,7967,1,0,0,0,0,0,0,0,0,1.75,4,0,0,0,1.0,1900,0,0,0,1720,0,0,0,47.3615,0,0,0,0,0,0,7,0,0,1967,0,0,9861,1,0,1900,0,0,0
19105,0,0,0,0,0,7700,0,0,0,0,0,0,0,0,0,1.0,3,0,0,0,1.0,1250,0,0,0,1520,0,0,0,47.5974,0,0,0,0,0,0,7,0,0,1955,0,0,7700,1,0,1250,0,0,0
12681,0,0,0,0,0,6607,0,0,0,0,0,0,0,0,0,2.0,3,0,0,0,2.0,1420,0,0,0,1790,0,0,0,47.2887,0,0,0,1,0,0,7,0,0,1990,0,0,6788,1,0,1420,0,0,0
11326,0,0,0,0,0,9534,0,0,0,0,0,0,0,0,0,1.5,3,0,1,0,1.0,1020,0,0,0,1760,0,0,0,47.5765,0,0,0,0,0,0,7,0,0,1958,0,0,8815,1,0,1960,0,0,940
7238,0,0,0,0,0,7000,0,0,0,0,0,0,0,0,0,2.75,3,1,0,0,1.0,1280,0,0,0,1670,0,0,0,47.4574,0,0,0,0,0,0,7,0,0,1977,0,0,7000,1,0,2200,0,0,920
365,0,0,0,0,0,44049,0,0,0,0,0,0,0,0,0,2.0,3,0,0,0,2.0,1840,0,0,0,1380,0,0,0,47.4853,0,0,0,0,0,0,7,0,0,1994,0,0,40438,1,0,1840,0,0,0
19048,0,0,0,0,0,5500,0,0,0,0,0,0,0,0,0,1.0,2,0,0,0,1.0,920,0,0,0,1370,0,0,0,47.5572,0,0,0,0,0,0,6,0,0,1910,0,0,6600,1,0,920,0,0,0
7803,0,0,0,0,0,6300,0,0,0,0,0,0,0,0,0,1.0,2,0,0,0,1.0,740,0,0,0,740,0,0,0,47.5158,0,0,0,0,0,0,6,0,0,1942,0,0,6300,1,0,740,0,0,0
18318,0,0,0,0,0,213444,0,0,0,0,0,0,0,0,0,2.5,4,0,0,0,1.0,2140,0,0,0,2810,0,0,0,47.2887,0,0,0,0,0,1,8,0,0,1984,0,0,213444,1,0,2880,0,0,740
14007,0,0,0,0,0,9000,0,0,0,0,0,0,0,0,0,2.75,4,0,1,0,1.0,2130,0,0,0,1970,0,0,0,47.544,0,0,0,0,0,0,8,0,0,1966,0,0,9000,1,0,2910,0,0,780
2913,0,0,0,0,0,17281,0,0,0,0,0,0,0,0,0,3.5,5,0,0,0,2.0,1970,1,0,0,2980,0,0,0,47.4384,0,0,0,0,0,0,10,0,0,1991,0,0,16952,0,0,2790,0,0,820
16491,0,0,0,0,0,7800,0,0,0,0,0,0,0,0,0,2.5,3,0,0,0,1.0,1330,0,0,0,1870,0,0,0,47.7368,0,0,0,0,0,0,7,0,0,1958,1,0,7800,1,0,2020,0,0,690
18528,0,0,0,0,0,5956,0,0,0,0,0,0,0,0,1,2.0,4,0,0,0,1.0,1700,0,0,0,1320,0,0,0,47.3029,0,0,0,0,0,0,6,0,0,1978,0,0,6025,1,0,1700,0,0,0
9809,0,0,0,0,0,14284,0,0,0,0,0,0,0,0,0,2.25,3,0,0,0,1.0,1150,0,0,0,2200,0,0,0,47.6322,0,0,0,0,0,0,8,0,0,1963,0,0,15952,1,0,2300,0,1,1150
7736,0,0,0,0,0,5153,0,0,0,0,0,0,0,0,0,2.5,3,0,0,0,2.0,2050,0,0,0,2050,0,0,0,47.5689,0,0,0,0,0,0,8,0,0,1994,0,0,4976,1,0,2050,0,0,0
11862,0,0,0,0,0,8625,0,0,0,0,0,0,0,0,0,2.0,3,0,0,0,1.0,1560,0,0,0,1970,0,0,0,47.7294,0,0,0,0,0,0,7,0,0,1967,0,0,8640,1,0,1560,0,0,0
1139,0,0,0,0,0,9898,0,1,0,0,0,0,0,0,0,2.5,3,0,0,0,2.0,2570,0,0,0,2490,0,0,0,47.7408,0,0,0,0,0,0,9,0,0,1989,0,0,9487,0,0,2570,0,0,0
7527,0,0,0,0,0,1375,0,0,0,0,0,0,0,0,0,2.0,2,0,0,0,2.0,1340,0,0,0,1410,0,0,0,47.5476,0,0,0,0,0,0,8,0,0,2003,0,0,1635,1,0,1340,0,0,0
11006,0,0,0,0,0,20267,0,0,0,0,0,0,0,0,0,1.75,4,0,0,0,1.0,1500,0,0,0,3750,0,0,0,47.5345,0,0,0,0,1,0,8,0,0,1970,0,0,92347,1,0,2500,0,0,1000
11891,0,0,0,0,0,8408,0,0,0,0,0,0,0,0,0,2.5,4,0,0,0,2.0,2820,0,0,0,1300,0,0,0,47.7538,0,0,0,0,0,0,9,0,0,2014,0,0,8408,1,0,2820,0,0,0
20159,0,0,0,0,0,7800,0,0,0,0,1,0,0,0,0,2.5,4,0,0,0,2.0,2310,0,0,0,2310,0,0,0,47.3737,0,0,0,0,0,0,8,0,0,2010,0,0,7384,1,0,2310,0,0,0
13643,0,0,0,0,0,5046,0,0,0,0,0,0,0,0,0,2.5,4,0,0,0,2.0,1630,0,0,0,1920,0,0,0,47.5704,0,0,0,0,0,0,7,0,0,1999,0,0,5361,1,0,1630,0,0,0
15977,0,0,0,0,0,16893,0,0,0,0,0,0,0,0,0,3.0,5,0,0,0,2.0,2610,0,0,0,3330,0,0,0,47.5485,0,0,0,0,1,0,11,0,0,1977,0,0,19126,1,0,3330,0,0,720
21014,0,0,0,0,0,4087,1,0,0,0,0,0,0,0,0,2.5,3,0,0,0,2.0,1660,0,0,0,1800,0,0,0,47.3595,0,0,0,0,0,0,7,0,0,2013,0,0,4083,1,0,1660,0,0,0
12078,0,0,0,0,0,7367,0,0,0,0,0,0,0,0,0,2.5,4,0,0,0,2.0,3270,0,0,0,2740,0,0,0,47.5374,0,0,0,0,0,0,9,0,0,2007,0,0,6055,1,0,3270,0,0,0
17839,0,0,0,0,0,10714,0,0,0,0,1,0,0,0,0,2.5,4,0,0,0,1.0,1260,0,0,0,1610,0,0,0,47.4229,0,0,0,0,0,0,7,0,0,1968,0,0,13500,1,0,2060,0,0,800
1973,0,0,0,0,0,5175,0,0,0,0,0,0,0,0,0,1.0,2,0,0,0,1.0,890,0,0,0,1190,0,0,0,47.5631,0,0,0,0,0,0,6,0,0,1918,0,0,3271,1,0,890,0,0,0
1732,0,0,0,0,0,16351,0,0,0,0,0,0,0,0,0,3.25,4,0,0,0,2.0,4280,0,0,0,3420,0,0,0,47.6377,0,0,1,0,0,0,11,0,0,1984,0,0,20296,1,0,4280,0,0,0
4008,0,0,0,0,0,6334,0,0,0,1,0,0,0,0,0,1.75,3,0,0,0,1.0,1450,1,0,0,1530,0,0,0,47.6675,0,0,0,0,0,0,8,0,0,1948,0,0,6334,0,0,1900,0,0,450
15435,0,0,0,0,0,12088,0,0,0,0,0,0,0,0,0,1.5,2,0,0,0,1.0,1760,0,0,0,2200,0,0,0,47.6288,0,0,0,0,0,0,7,0,0,1964,0,0,12000,1,0,1760,0,0,0
8029,0,0,0,0,0,9600,0,0,0,0,0,0,0,0,0,1.75,4,0,0,0,1.0,1280,0,0,0,2190,0,0,0,47.4958,0,0,0,0,0,0,7,0,0,1956,0,0,6485,1,1,2090,0,0,810
18711,0,0,0,0,0,2052,0,0,0,0,0,0,0,0,0,2.0,3,0,0,0,1.5,1470,0,0,0,1390,0,0,0,47.3084,0,1,0,0,0,0,7,0,0,1986,0,0,2052,1,0,1470,0,0,0
17154,0,0,0,0,0,6060,0,0,0,0,0,0,0,0,0,1.0,2,0,0,0,1.0,700,0,0,0,960,0,0,0,47.4934,0,0,0,0,0,0,5,0,0,1953,0,0,7303,1,0,700,0,0,0
7150,0,0,0,0,0,9752,0,0,0,0,0,0,0,0,0,1.0,2,0,0,0,1.0,960,0,0,0,1240,0,0,0,47.4485,0,0,0,0,0,0,7,0,0,1977,0,0,20954,1,0,960,0,0,0
6759,0,0,0,0,0,6090,0,0,0,0,0,0,0,0,0,2.0,4,0,0,0,2.0,2200,0,0,0,2360,0,1,0,47.5619,0,0,0,0,0,0,8,0,0,1919,0,0,5000,0,0,2450,0,0,250
1269,0,0,0,0,0,3840,0,0,0,0,0,0,0,0,0,1.75,3,0,0,0,1.0,980,0,0,0,1400,0,0,0,47.6886,0,0,0,0,0,0,7,0,0,1927,0,0,3360,1,0,1620,0,0,640
1100,0,0,0,0,0,13404,0,0,0,0,0,0,0,0,0,4.5,5,0,0,0,2.0,6070,0,0,0,4750,0,0,0,47.5306,0,0,0,0,0,0,11,0,0,2004,0,0,14731,1,0,6070,0,0,0
7605,0,0,0,0,0,10464,0,0,0,0,0,0,0,0,0,3.0,4,0,0,0,1.0,1330,0,0,0,1580,0,0,0,47.7307,0,0,0,0,0,0,7,0,0,1978,0,0,11670,1,0,2430,0,0,1100
9960,0,0,0,0,0,13905,0,0,0,0,0,0,0,0,0,1.5,3,0,0,0,1.0,1500,0,0,1,1790,0,0,0,47.3926,0,0,0,0,0,0,7,0,0,1952,0,0,15000,1,0,1500,0,0,0
17970,0,0,0,0,0,8835,0,0,0,0,0,0,0,0,0,2.5,4,0,0,0,2.0,2300,0,0,0,2280,0,0,0,47.6273,0,0,0,0,0,0,9,0,0,1990,0,0,7989,1,0,2300,0,0,0
13829,0,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,2.5,3,0,0,0,1.0,1010,0,0,0,1670,0,0,0,47.5621,0,0,0,0,0,0,6,0,0,1910,0,0,3000,1,0,2020,0,0,1010
14121,0,0,0,0,0,4592,0,0,0,0,0,0,0,0,0,2.5,3,0,0,0,2.0,2120,0,0,0,2540,0,0,0,47.6649,0,0,0,0,0,0,9,0,0,2005,0,0,3600,1,0,2120,0,0,0
13176,0,0,0,0,0,20875,0,0,0,0,0,0,0,0,0,1.75,3,0,0,0,1.0,2130,0,0,0,2370,0,0,0,47.6339,0,0,1,0,0,0,9,0,0,1953,0,0,20423,1,0,2130,0,0,0
20169,0,0,0,0,0,5831,0,0,0,0,0,0,0,0,0,2.5,4,0,0,0,2.0,2650,0,0,0,2650,0,0,0,47.479,0,0,0,0,0,0,8,0,0,2014,0,0,6875,1,0,2650,0,0,0
1647,0,0,0,0,0,3750,0,0,0,0,0,0,0,0,0,1.75,2,0,0,0,1.5,1040,0,0,0,1380,0,0,0,47.5803,0,0,0,0,0,0,6,0,0,1912,0,0,2275,1,0,1760,0,0,720
18688,0,0,0,0,0,6770,0,0,0,0,0,0,0,0,0,1.75,4,0,0,0,1.0,1220,0,0,0,1440,0,0,0,47.6946,0,0,0,0,0,0,7,0,0,1924,0,0,6770,1,0,2410,0,0,1190
19234,0,0,0,0,0,57499,0,0,0,0,0,0,0,0,0,1.0,3,0,0,0,1.0,960,0,0,0,1520,0,0,0,47.5621,0,0,0,0,0,0,6,0,0,1933,0,0,213008,1,0,960,0,0,0
13815,0,0,0,0,0,3678,0,0,0,0,0,0,0,0,0,1.5,2,0,0,0,1.5,1220,0,1,0,1180,0,0,0,47.3804,0,0,0,0,0,0,8,0,0,1976,0,0,3568,1,0,1220,0,0,0
21050,0,0,0,0,0,36859,0,0,0,0,0,0,0,0,0,6.0,5,0,1,0,2.0,5480,0,0,0,3440,0,1,0,47.5451,0,0,0,0,0,0,12,0,0,2007,0,0,40806,0,0,7120,0,0,1640
17275,0,0,0,0,0,6682,0,0,0,0,0,0,0,0,0,1.75,3,0,0,0,1.0,1290,0,0,0,1440,0,0,0,47.323,0,0,0,1,0,0,7,0,0,1984,0,0,6604,1,0,1290,0,0,0
18069,0,0,0,0,0,9873,0,0,0,0,0,0,0,0,0,3.5,4,0,0,0,2.0,4010,0,0,0,1870,0,0,0,47.5891,0,0,1,0,0,0,10,0,0,2007,0,0,9654,1,0,4010,0,0,0
8084,0,0,0,0,0,7800,0,0,0,0,0,0,0,0,0,1.75,3,0,0,0,1.0,1330,0,0,0,1690,0,0,0,47.6074,0,0,1,0,0,0,8,0,0,1961,0,0,7500,1,0,1330,0,0,0
20015,0,0,0,0,0,1865,0,0,0,0,0,0,0,0,0,2.25,3,0,0,0,3.0,1347,0,0,0,1480,0,0,0,47.7306,0,0,0,0,0,0,7,0,0,2010,0,0,1292,1,0,1347,0,0,0
15872,0,0,0,0,0,4590,0,0,0,0,0,0,0,0,0,1.0,2,0,0,0,1.0,1040,0,0,0,1500,0,0,0,47.6809,1975,0,0,0,0,0,7,0,0,65,0,0,4880,1,0,1040,0,0,0
3292,0,0,0,0,0,19864,0,0,0,0,0,0,0,0,0,2.5,4,0,0,0,2.0,3600,0,0,0,3410,0,0,0,47.7121,0,0,0,0,0,0,11,0,0,1990,0,0,21794,1,0,3600,0,0,0
15075,0,0,0,0,0,7800,0,0,0,0,0,0,0,0,0,2.0,4,0,0,0,1.0,1760,0,0,0,1950,0,0,0,47.6945,0,0,0,0,0,0,8,0,0,1954,0,0,7800,1,0,1760,0,0,0
15073,0,0,0,0,0,4200,0,0,0,0,0,0,0,0,0,3.0,5,0,0,0,2.0,1890,0,0,0,2150,0,0,0,47.6754,2014,0,0,0,0,0,7,0,0,95,0,0,4200,1,0,2710,0,0,820
7486,0,0,0,0,0,9040,0,0,0,0,0,0,0,0,0,1.5,3,0,0,0,1.0,1640,0,0,0,1540,0,0,0,47.495,0,0,0,0,0,0,7,0,0,1963,0,0,8922,1,0,1640,0,0,0
18654,0,0,0,0,0,1524,0,0,0,0,0,0,0,0,0,2.5,3,0,0,0,2.0,720,0,0,0,1060,0,0,0,47.5343,0,0,0,0,0,0,7,1,0,2004,0,0,2217,1,0,1020,0,0,300
8773,0,0,0,0,0,82764,0,0,0,0,1,0,0,0,0,1.5,3,0,0,0,1.0,1140,0,0,0,2170,0,0,0,47.3796,0,0,0,0,0,0,7,0,0,1967,0,0,60960,1,0,1860,0,0,720
