,sqft_basement,view_qual,yr_renovated,zipcode_98040,space_above,see_sea,bathrooms,space_int_15,zipcode_98006,bedrooms,lat,zipcode_98039,zipcode_98112,grade,interior_space,zipcode_98004,floors
10682,0,0,0,0,2310,0,2.5,2310,0,4,47.5197,0,0,9,2310,0,2.0
14792,0,0,0,0,1340,0,1.5,1300,0,3,47.3837,0,0,7,1340,0,1.0
21072,840,2,0,0,2500,0,3.25,3220,0,5,47.5193,0,0,9,3340,0,2.0
20514,110,0,0,0,880,0,2.25,1030,0,3,47.6605,0,0,8,990,0,2.5
14597,480,0,0,0,1690,0,2.5,1420,0,3,47.3634,0,0,7,2170,0,1.0
14074,0,0,0,0,2090,0,2.25,1760,0,3,47.7015,0,0,8,2090,0,2.0
16457,0,0,0,0,3140,0,2.5,3140,0,3,47.5595,0,0,10,3140,0,2.0
11723,1510,0,0,0,1510,0,1.75,2230,1,4,47.56,0,0,8,3020,0,1.0
18764,0,0,0,0,2630,0,3.0,2880,0,3,47.693,0,0,9,2630,0,2.0
17299,0,0,0,0,800,0,1.0,1530,0,2,47.7257,0,0,6,800,0,1.0
17708,0,0,0,0,1764,0,2.0,1490,0,4,47.4318,0,0,7,1764,0,1.0
9805,470,0,0,0,1070,0,1.75,2510,0,3,47.4973,0,0,7,1540,0,1.0
15931,140,0,2010,0,1980,0,1.75,2020,0,3,47.6666,0,0,7,2120,0,2.0
8747,0,0,0,0,1250,0,1.0,1490,0,3,47.7474,0,0,7,1250,0,1.5
18995,0,0,0,0,880,0,1.0,1100,0,3,47.4949,0,0,6,880,0,1.0
19964,0,0,0,0,2550,0,2.5,2250,0,3,47.6647,0,0,9,2550,0,2.0
18245,0,0,0,0,1440,0,2.5,1600,0,3,47.6873,0,0,7,1440,0,2.0
1532,280,0,0,0,1410,0,2.5,1690,0,3,47.5389,0,0,8,1690,0,2.0
7333,0,0,0,0,2520,0,2.25,1490,0,3,47.3514,0,0,9,2520,0,2.0
17191,0,0,0,0,4270,0,3.5,2610,0,4,47.5352,0,0,9,4270,0,2.0
15320,0,0,0,0,1450,0,1.75,2256,0,3,47.3343,0,0,8,1450,0,1.0
19171,0,0,0,0,1060,0,1.0,1920,0,3,47.6736,0,0,7,1060,0,1.0
19458,0,0,0,0,1900,0,1.75,1720,0,4,47.3615,0,0,7,1900,0,1.0
19105,0,0,0,0,1250,0,1.0,1520,0,3,47.5974,0,0,7,1250,0,1.0
12681,0,0,0,0,1420,0,2.0,1790,0,3,47.2887,0,0,7,1420,0,2.0
11326,940,0,0,0,1020,0,1.5,1760,1,3,47.5765,0,0,7,1960,0,1.0
7238,920,0,0,0,1280,0,2.75,1670,0,3,47.4574,0,0,7,2200,0,1.0
365,0,0,0,0,1840,0,2.0,1380,0,3,47.4853,0,0,7,1840,0,2.0
19048,0,0,0,0,920,0,1.0,1370,0,2,47.5572,0,0,6,920,0,1.0
7803,0,0,0,0,740,0,1.0,740,0,2,47.5158,0,0,6,740,0,1.0
18318,740,0,0,0,2140,0,2.5,2810,0,4,47.2887,0,0,8,2880,0,1.0
14007,780,0,0,0,2130,0,2.75,1970,1,4,47.544,0,0,8,2910,0,1.0
2913,820,2,0,0,1970,0,3.5,2980,0,5,47.4384,0,0,10,2790,0,2.0
16491,690,0,0,0,1330,0,2.5,1870,0,3,47.7368,0,0,7,2020,0,1.0
18528,0,0,0,0,1700,0,2.0,1320,0,4,47.3029,0,0,6,1700,0,1.0
9809,1150,0,0,0,1150,0,2.25,2200,0,3,47.6322,1,0,8,2300,0,1.0
7736,0,0,0,0,2050,0,2.5,2050,0,3,47.5689,0,0,8,2050,0,2.0
11862,0,0,0,0,1560,0,2.0,1970,0,3,47.7294,0,0,7,1560,0,1.0
1139,0,3,0,0,2570,0,2.5,2490,0,3,47.7408,0,0,9,2570,0,2.0
7527,0,0,0,0,1340,0,2.0,1410,0,2,47.5476,0,0,8,1340,0,2.0
11006,1000,0,0,1,1500,0,1.75,3750,0,4,47.5345,0,0,8,2500,0,1.0
11891,0,0,0,0,2820,0,2.5,1300,0,4,47.7538,0,0,9,2820,0,2.0
20159,0,0,0,0,2310,0,2.5,2310,0,4,47.3737,0,0,8,2310,0,2.0
13643,0,0,0,0,1630,0,2.5,1920,0,4,47.5704,0,0,7,1630,0,2.0
15977,720,0,0,1,2610,0,3.0,3330,0,5,47.5485,0,0,11,3330,0,2.0
21014,0,0,0,0,1660,0,2.5,1800,0,3,47.3595,0,0,7,1660,0,2.0
12078,0,0,0,0,3270,0,2.5,2740,0,4,47.5374,0,0,9,3270,0,2.0
17839,800,0,0,0,1260,0,2.5,1610,0,4,47.4229,0,0,7,2060,0,1.0
1973,0,0,0,0,890,0,1.0,1190,0,2,47.5631,0,0,6,890,0,1.0
1732,0,0,0,0,4280,0,3.25,3420,0,4,47.6377,0,0,11,4280,1,2.0
4008,450,2,0,0,1450,0,1.75,1530,0,3,47.6675,0,0,8,1900,0,1.0
15435,0,0,0,0,1760,0,1.5,2200,0,2,47.6288,0,0,7,1760,0,1.0
8029,810,0,0,0,1280,0,1.75,2190,0,4,47.4958,0,0,7,2090,0,1.0
18711,0,0,0,0,1470,0,2.0,1390,0,3,47.3084,0,0,7,1470,0,1.5
17154,0,0,0,0,700,0,1.0,960,0,2,47.4934,0,0,5,700,0,1.0
7150,0,0,0,0,960,0,1.0,1240,0,2,47.4485,0,0,7,960,0,1.0
6759,250,4,0,0,2200,0,2.0,2360,0,4,47.5619,0,0,8,2450,0,2.0
1269,640,0,0,0,980,0,1.75,1400,0,3,47.6886,0,0,7,1620,0,1.0
1100,0,0,0,0,6070,0,4.5,4750,0,5,47.5306,0,0,11,6070,0,2.0
7605,1100,0,0,0,1330,0,3.0,1580,0,4,47.7307,0,0,7,2430,0,1.0
9960,0,0,0,0,1500,0,1.5,1790,0,3,47.3926,0,0,7,1500,0,1.0
17970,0,0,0,0,2300,0,2.5,2280,0,4,47.6273,0,0,9,2300,0,2.0
13829,1010,0,0,0,1010,0,2.5,1670,0,3,47.5621,0,0,6,2020,0,1.0
14121,0,0,0,0,2120,0,2.5,2540,0,3,47.6649,0,0,9,2120,0,2.0
13176,0,0,0,0,2130,0,1.75,2370,0,3,47.6339,0,0,9,2130,1,1.0
20169,0,0,0,0,2650,0,2.5,2650,0,4,47.479,0,0,8,2650,0,2.0
1647,720,0,0,0,1040,0,1.75,1380,0,2,47.5803,0,0,6,1760,0,1.5
18688,1190,0,0,0,1220,0,1.75,1440,0,4,47.6946,0,0,7,2410,0,1.0
19234,0,0,0,0,960,0,1.0,1520,0,3,47.5621,0,0,6,960,0,1.0
13815,0,0,0,0,1220,0,1.5,1180,0,2,47.3804,0,0,8,1220,0,1.5
21050,1640,4,0,0,5480,0,6.0,3440,1,5,47.5451,0,0,12,7120,0,2.0
17275,0,0,0,0,1290,0,1.75,1440,0,3,47.323,0,0,7,1290,0,1.0
18069,0,0,0,0,4010,0,3.5,1870,0,4,47.5891,0,0,10,4010,1,2.0
8084,0,0,0,0,1330,0,1.75,1690,0,3,47.6074,0,0,8,1330,1,1.0
20015,0,0,0,0,1347,0,2.25,1480,0,3,47.7306,0,0,7,1347,0,3.0
15872,0,0,1975,0,1040,0,1.0,1500,0,2,47.6809,0,0,7,1040,0,1.0
3292,0,0,0,0,3600,0,2.5,3410,0,4,47.7121,0,0,11,3600,0,2.0
15075,0,0,0,0,1760,0,2.0,1950,0,4,47.6945,0,0,8,1760,0,1.0
15073,820,0,2014,0,1890,0,3.0,2150,0,5,47.6754,0,0,7,2710,0,2.0
7486,0,0,0,0,1640,0,1.5,1540,0,3,47.495,0,0,7,1640,0,1.0
18654,300,0,0,0,720,0,2.5,1060,0,3,47.5343,0,0,7,1020,0,2.0
8773,720,0,0,0,1140,0,1.5,2170,0,3,47.3796,0,0,7,1860,0,1.0
3753,0,0,0,0,1140,0,1.0,1520,0,2,47.6205,0,1,7,1140,0,1.0
3331,200,0,0,0,1120,0,1.75,2360,0,5,47.3937,0,0,7,1320,0,1.0
10109,750,0,0,1,1500,0,2.0,2820,0,3,47.5762,0,0,8,2250,0,1.0
12831,470,0,0,0,1270,0,1.75,2190,0,4,47.7675,0,0,7,1740,0,1.0
12728,1280,0,0,0,1280,0,1.75,1620,0,3,47.6207,0,1,7,2560,0,1.0
4975,880,1,0,0,2350,0,3.25,1520,0,5,47.5202,0,0,9,3230,0,2.0
6532,0,3,0,0,2110,0,2.5,2390,0,3,47.2674,0,0,9,2110,0,2.0
20430,0,0,0,0,3010,0,3.0,2370,0,5,47.7226,0,0,9,3010,0,2.0
9767,0,0,0,0,1510,0,1.75,1460,0,3,47.7243,0,0,7,1510,0,1.0
3039,0,3,0,1,4070,0,4.25,3430,0,4,47.59,0,0,10,4070,0,2.0
20877,0,0,0,0,2750,0,2.5,2310,0,4,47.4698,0,0,9,2750,0,2.0
6359,0,0,0,0,2110,0,2.5,2350,0,4,47.6888,0,0,7,2110,0,2.0
9229,0,0,0,0,2530,0,2.5,2480,1,5,47.5622,0,0,8,2530,0,2.0
4902,0,0,0,0,2950,0,2.5,1480,0,5,47.4186,0,0,8,2950,0,2.0
14890,0,3,0,0,2450,0,3.0,2300,0,3,47.2215,0,0,8,2450,0,1.5
2217,0,0,0,0,3100,0,2.75,2860,0,4,47.7302,0,0,8,3100,0,2.0
2440,200,0,0,0,2860,0,2.5,2950,0,4,47.5383,0,0,8,3060,0,2.0
20131,0,0,0,0,3190,0,2.5,2110,0,4,47.6379,0,0,9,3190,0,2.0
2073,0,0,0,0,870,0,1.0,820,0,2,47.5186,0,0,6,870,0,1.0
20776,170,0,0,0,2760,0,2.5,3230,1,4,47.5424,0,0,9,2930,0,2.0
8529,0,0,0,0,1210,0,1.75,1310,0,3,47.2666,0,0,6,1210,0,1.0
13778,2170,0,0,0,2170,0,2.5,2030,0,5,47.5384,0,0,8,4340,0,1.0
18241,970,0,0,0,1340,0,2.5,2660,0,3,47.7677,0,0,8,2310,0,1.0
16809,410,0,0,0,1680,0,2.75,1990,0,4,47.4333,0,0,8,2090,0,1.5
21076,410,0,0,0,1930,0,2.5,2950,0,4,47.5451,0,0,8,2340,0,2.0
11483,800,0,0,0,1170,0,1.75,1910,0,5,47.2925,0,0,7,1970,0,1.0
19132,1570,2,0,0,1570,0,2.75,2430,1,4,47.5675,0,0,8,3140,0,1.0
1826,150,0,0,0,910,0,1.0,1480,0,3,47.5784,0,0,7,1060,0,1.0
19025,560,0,2004,0,1450,0,2.0,1660,0,2,47.5596,0,0,7,2010,0,1.5
18866,670,3,0,1,2020,0,2.25,3380,0,5,47.5821,0,0,8,2690,0,1.0
4028,1170,0,0,0,2440,0,3.25,3130,0,3,47.5464,0,0,10,3610,0,2.0
13519,0,0,0,0,1460,0,1.0,1320,0,4,47.5006,0,0,5,1460,0,1.5
4631,0,0,0,0,2770,0,2.5,2770,0,4,47.6622,0,0,9,2770,0,2.0
10897,0,0,0,0,1550,0,1.5,1820,0,3,47.7072,0,0,7,1550,0,2.0
19929,0,0,0,0,1270,0,1.5,1270,0,3,47.699,0,0,8,1270,0,3.0
4618,740,0,0,0,1230,0,2.5,1470,0,3,47.5328,0,0,6,1970,0,1.5
7057,1040,3,0,0,1610,0,2.5,2650,0,4,47.7684,0,0,8,2650,0,1.0
4795,300,0,0,0,1100,0,1.75,1720,0,3,47.6793,0,0,6,1400,0,1.5
12805,0,0,0,0,1050,0,1.0,1340,0,2,47.6699,0,0,7,1050,0,1.0
3901,650,0,0,0,1290,0,1.75,2400,1,3,47.5586,0,0,8,1940,0,1.0
17516,0,0,0,0,2650,0,2.5,2880,1,4,47.5496,0,0,9,2650,0,2.0
9140,960,0,0,0,1620,0,2.25,2140,0,4,47.3122,0,0,9,2580,0,1.0
15462,0,0,0,0,890,0,1.0,1090,0,2,47.5437,0,0,6,890,0,1.0
11309,0,0,0,0,1560,0,1.0,1468,0,3,47.4549,0,0,7,1560,0,1.0
11626,430,0,0,0,850,0,1.0,1280,0,2,47.634,0,0,7,1280,0,1.0
2020,1800,2,0,0,1800,0,4.0,3600,0,5,47.7022,0,0,8,3600,0,1.0
14947,0,0,0,0,2860,0,2.25,1760,0,3,47.4269,0,0,7,2860,0,2.0
15880,0,0,0,0,1230,0,1.0,1610,0,2,47.6797,0,0,7,1230,0,1.0
2059,390,0,0,0,1820,0,3.25,2010,0,3,47.7031,0,0,8,2210,0,2.0
17391,0,2,0,0,2570,0,3.0,1630,0,4,47.5821,0,0,7,2570,0,2.0
15793,780,0,2004,0,3050,0,4.5,1990,0,6,47.6404,0,0,9,3830,0,3.0
2369,0,0,0,0,2590,0,2.5,2800,0,4,47.5848,0,0,10,2590,0,2.0
7705,560,0,0,0,1480,0,2.25,2330,0,4,47.7077,0,0,8,2040,0,1.0
19395,650,1,0,0,2070,0,3.25,1450,0,4,47.5554,0,0,10,2720,0,2.0
16470,0,0,0,0,1850,0,2.5,1940,0,4,47.4031,0,0,7,1850,0,2.0
21241,508,0,0,0,950,0,1.75,1458,0,3,47.592,0,0,8,1458,0,2.0
5596,0,0,0,0,2990,0,2.5,2590,0,4,47.2612,0,0,8,2990,0,2.0
12866,0,0,0,0,1600,0,2.5,1790,0,3,47.3618,0,0,8,1600,0,2.0
17563,0,0,1972,0,2260,0,3.0,1320,0,3,47.6094,0,0,7,2260,0,2.0
8613,0,0,0,0,2980,0,2.5,2920,0,4,47.7354,0,0,9,2980,0,2.0
15465,0,0,0,0,2600,0,3.0,1810,0,4,47.746,0,0,8,2600,0,1.0
107,0,0,0,0,1240,0,1.75,1270,0,2,47.3813,0,0,8,1240,0,1.0
16551,0,0,0,0,860,0,1.0,1130,0,2,47.5005,0,0,7,860,0,1.0
19874,0,0,0,0,2196,0,2.5,1860,0,3,47.3803,0,0,8,2196,0,2.0
21288,0,0,0,0,2470,0,2.75,2570,0,3,47.5406,0,0,9,2470,0,2.0
5440,0,0,0,0,3160,0,2.5,3350,0,4,47.5996,0,0,10,3160,0,2.0
3520,0,0,0,0,2000,0,2.0,2420,0,4,47.5851,0,0,8,2000,0,2.0
5146,0,0,0,0,1920,0,2.5,1830,0,3,47.7633,0,0,8,1920,0,2.0
7260,1120,0,0,0,1630,0,3.0,2440,0,4,47.7134,0,0,8,2750,0,1.0
1754,0,0,0,0,4570,0,2.5,3860,0,3,47.5533,0,0,12,4570,0,2.0
3805,0,0,0,0,760,0,0.75,970,0,1,47.3046,0,0,5,760,0,1.0
2322,610,0,0,0,1160,0,1.5,2450,1,3,47.5659,0,0,8,1770,0,1.0
9840,2060,4,0,0,3900,0,3.75,3860,0,6,47.5398,0,0,10,5960,0,2.0
17668,0,0,0,0,1430,0,2.0,1530,0,3,47.701,0,0,7,1430,0,1.0
1,400,0,1991,0,2170,0,2.25,1690,0,3,47.721,0,0,7,2570,0,2.0
18122,0,0,0,0,2630,0,2.5,2360,0,4,47.7735,0,0,8,2630,0,2.0
8021,0,0,0,0,2000,0,2.5,2410,0,4,47.466,0,0,7,2000,0,2.0
18461,930,0,0,0,2570,0,3.5,2940,1,5,47.5415,0,0,10,3500,0,2.0
12667,0,0,0,0,1770,0,1.5,1600,0,4,47.6011,0,0,7,1770,0,1.0
17526,670,0,0,0,1200,0,1.75,1790,0,4,47.6843,0,0,7,1870,0,2.0
17499,0,0,0,0,1420,0,1.0,1480,0,3,47.4913,0,0,6,1420,0,1.0
9893,0,0,1986,0,1780,0,2.5,1690,0,3,47.6809,0,0,8,1780,0,2.0
20054,0,0,0,0,1940,0,2.5,1880,0,3,47.5644,0,0,8,1940,0,2.0
804,0,0,0,0,1550,0,1.0,1220,0,4,47.5222,0,0,6,1550,0,1.5
8535,0,0,0,0,2980,0,2.5,3010,0,3,47.437,0,0,8,2980,0,2.0
12031,0,0,0,0,1220,0,2.0,1990,0,3,47.4712,0,0,7,1220,0,1.0
16153,220,0,0,0,980,0,1.0,1040,0,2,47.5276,0,0,6,1200,0,1.0
18336,800,0,0,0,1330,0,1.75,1600,0,4,47.3932,0,0,7,2130,0,1.0
1586,0,0,0,0,4740,0,3.25,4800,0,4,47.6624,0,0,11,4740,0,2.0
15633,1080,0,0,0,1420,0,2.75,1430,0,4,47.523,0,0,7,2500,0,1.5
2361,930,3,0,0,1330,0,2.75,1790,0,4,47.7088,0,0,7,2260,0,1.0
14247,0,0,0,0,1360,0,1.0,1280,0,4,47.5054,0,0,6,1360,0,1.5
19590,0,0,0,0,1290,0,1.0,1440,0,4,47.5128,0,0,7,1290,0,1.5
220,0,0,0,0,2760,0,2.5,3070,0,4,47.5836,0,0,10,2760,0,2.0
16295,0,0,0,0,1500,0,2.5,1700,0,3,47.75,0,0,7,1500,0,2.0
10521,0,0,0,0,840,0,1.0,1340,0,2,47.5489,0,0,7,840,0,1.0
5667,880,0,0,0,3400,0,2.5,3520,1,4,47.5588,0,0,11,4280,0,2.0
20725,80,0,0,0,1270,0,2.5,1350,0,3,47.5491,0,0,8,1350,0,3.0
8175,0,0,0,0,1780,0,2.5,2005,0,4,47.4239,0,0,7,1780,0,2.0
17990,0,0,0,0,860,0,1.0,1540,0,3,47.6761,0,0,7,860,0,1.5
3458,0,0,0,0,1640,0,1.0,1200,0,3,47.3256,0,0,7,1640,0,1.0
13278,0,0,0,0,1170,0,1.0,1380,0,3,47.5448,0,0,7,1170,0,1.0
11138,970,0,0,0,1550,0,2.25,2520,0,3,47.6704,0,0,9,2520,0,2.0
2327,1250,0,0,0,1810,0,2.5,2690,0,4,47.7675,0,0,8,3060,0,1.0
6531,400,0,0,0,1460,0,2.5,2040,0,4,47.6228,0,0,8,1860,0,1.0
756,1720,2,0,0,2030,0,3.5,3270,1,5,47.5511,0,0,9,3750,0,1.0
6027,0,0,0,0,750,0,1.0,1020,0,2,47.5198,0,0,6,750,0,1.0
10419,0,0,0,0,1590,0,1.75,1600,0,3,47.7617,0,0,7,1590,0,1.0
13581,700,0,0,0,1250,0,1.75,1290,0,3,47.7019,0,0,7,1950,0,1.0
2137,570,0,0,0,1240,0,2.25,1810,0,3,47.4997,0,0,7,1810,0,1.0
16713,0,0,0,0,2710,0,2.5,2710,0,4,47.434,0,0,9,2710,0,2.0
20488,0,0,0,0,4360,0,4.0,3570,0,5,47.5923,0,0,10,4360,0,2.0
10748,0,0,0,0,1800,0,1.0,1230,0,3,47.4922,0,0,7,1800,0,1.0
14518,0,0,0,0,1200,0,1.75,1340,0,3,47.5553,0,0,7,1200,0,1.0
8411,0,0,0,0,1460,0,1.0,2250,0,3,47.4434,0,0,7,1460,0,1.0
15490,0,0,0,0,1210,0,1.0,1210,0,2,47.745,0,0,7,1210,0,1.0
11221,0,0,0,0,3460,0,2.5,3140,0,4,47.637,0,0,10,3460,0,2.0
13900,1720,0,0,0,1750,0,2.75,2950,0,4,47.6339,0,0,8,3470,0,1.0
6829,0,0,0,0,2220,0,2.5,2090,0,4,47.3541,0,0,7,2220,0,2.0
20522,0,0,0,0,2700,0,2.75,2840,0,4,47.4831,0,0,9,2700,0,2.0
2408,1190,0,2013,0,1690,0,3.5,2530,0,3,47.6113,0,0,8,2880,0,1.0
494,440,0,0,0,1070,0,2.0,1660,0,3,47.7193,0,0,7,1510,0,1.0
20086,340,0,0,0,1110,0,2.5,1620,0,2,47.6692,0,0,9,1450,0,2.0
9576,0,0,0,0,1100,0,1.0,1570,0,3,47.5162,0,0,7,1100,0,1.0
4175,0,0,0,0,2110,0,1.75,880,0,3,47.4742,0,0,8,2110,0,1.0
16973,1420,0,0,0,2100,0,3.0,3000,0,5,47.4658,0,0,8,3520,0,2.0
20189,0,0,0,0,3800,0,2.75,3400,0,4,47.7368,0,0,9,3800,0,2.0
11436,180,0,0,0,1300,0,3.5,1140,0,3,47.5421,0,0,7,1480,0,2.0
11897,0,0,0,0,1880,0,2.5,1840,0,3,47.6091,0,0,8,1880,0,2.0
12912,0,0,0,0,2166,0,2.75,2474,0,5,47.3461,0,0,8,2166,0,2.0
1196,400,0,0,0,1140,0,2.75,1630,0,5,47.533,0,0,7,1540,0,1.0
13279,200,2,0,0,1890,0,1.0,2090,0,3,47.6393,0,0,8,2090,0,1.5
17651,310,0,0,0,1130,0,2.25,1510,0,3,47.318,0,0,8,1440,0,1.0
14123,0,0,0,0,2130,0,2.5,3340,0,3,47.7754,0,0,8,2130,0,2.0
3360,0,0,0,0,1700,0,2.0,1460,0,3,47.7661,0,0,8,1700,0,2.0
16810,990,2,2005,0,1250,0,2.5,1380,0,4,47.6818,0,0,7,2240,0,1.0
9057,0,0,0,0,1270,0,1.0,1700,0,3,47.4599,0,0,7,1270,0,1.0
17370,980,0,0,0,1500,0,3.0,2480,0,3,47.3778,0,0,8,2480,0,1.0
17422,0,0,0,0,2030,0,2.75,1790,0,4,47.282,0,0,7,2030,0,1.0
6653,0,0,0,0,1200,0,1.0,1200,0,3,47.3729,0,0,6,1200,0,1.0
5776,830,0,0,0,1420,0,1.75,1930,0,4,47.6738,0,0,7,2250,0,1.5
7690,0,0,0,0,1960,0,2.0,1580,0,4,47.7494,0,0,7,1960,0,2.0
11243,430,3,0,0,1310,0,3.5,1740,0,3,47.6085,0,0,8,1740,0,2.0
548,740,0,0,0,1560,0,2.75,1870,0,4,47.4518,0,0,7,2300,0,1.0
11083,0,0,1994,0,2320,0,2.0,1610,0,3,47.4519,0,0,8,2320,0,1.0
20704,0,0,0,0,2290,0,3.0,2450,0,4,47.7727,0,0,8,2290,0,2.0
11174,700,0,0,0,1430,0,1.75,2130,0,3,47.5326,0,0,8,2130,0,1.0
15640,0,0,0,0,790,0,1.0,1420,0,2,47.7159,0,0,6,790,0,1.0
7401,830,0,0,0,1070,0,1.75,1130,0,3,47.5255,0,0,7,1900,0,1.5
225,0,0,0,0,1250,0,2.25,1280,0,3,47.5123,0,0,7,1250,0,1.0
15955,680,2,0,0,1530,0,1.5,2700,0,2,47.6122,0,0,8,2210,0,1.0
11516,900,0,0,0,2320,0,2.75,2310,0,4,47.6713,0,0,9,3220,0,1.5
19054,0,0,0,0,760,0,1.0,1220,0,2,47.5019,0,0,6,760,0,1.0
19358,0,0,0,0,1690,0,1.75,2390,0,4,47.5241,0,0,7,1690,0,1.0
2573,0,0,0,0,1470,0,2.25,1560,0,3,47.5667,0,0,7,1470,0,2.0
1580,150,0,0,0,1060,0,1.0,1380,0,2,47.5625,0,0,8,1210,0,1.0
10137,840,0,0,0,840,0,1.75,1800,0,4,47.6895,0,0,7,1680,0,1.0
7196,0,0,0,0,1240,0,1.0,2080,0,2,47.6461,0,0,7,1240,0,1.0
9549,0,0,0,0,680,0,1.0,1070,0,2,47.6901,0,0,5,680,0,1.0
11212,0,0,0,0,2620,0,2.5,3190,0,3,47.4583,0,0,8,2620,0,2.0
1688,0,0,0,0,1210,0,1.75,2020,0,2,47.4599,0,0,7,1210,0,1.5
1525,0,0,0,0,2540,0,2.5,2790,0,4,47.7185,0,0,10,2540,0,1.0
6007,780,0,0,0,1260,0,2.75,2470,0,4,47.666,0,0,8,2040,0,1.0
1940,0,0,0,0,1260,0,1.0,1300,0,3,47.3452,0,0,7,1260,0,1.0
2870,370,0,0,0,1350,0,1.75,2740,0,3,47.6608,0,0,8,1720,0,1.0
12868,0,0,0,0,1080,0,1.0,1200,0,3,47.32,0,0,7,1080,0,1.0
7346,1440,0,0,0,4410,0,3.75,4830,1,4,47.5485,0,0,12,5850,0,2.0
20219,450,0,0,0,1060,0,2.5,1510,0,3,47.6181,0,0,8,1510,0,2.0
12699,0,0,0,0,1400,0,1.5,1480,0,3,47.3639,0,0,7,1400,0,1.0
15367,1100,0,0,0,1380,0,1.5,1440,0,4,47.6445,0,0,7,2480,0,1.0
12446,0,0,0,0,3170,0,2.75,2940,0,4,47.5774,0,0,10,3170,0,2.0
13960,0,0,0,0,2961,0,2.5,2620,0,4,47.5839,0,0,9,2961,0,2.0
17444,1570,0,0,0,2160,0,3.0,1890,0,5,47.6507,0,0,7,3730,0,1.5
9690,300,0,0,0,1260,0,2.0,1570,0,3,47.341,0,0,7,1560,0,1.0
20182,0,0,0,0,1930,0,1.75,2770,0,3,47.5181,0,0,9,1930,0,1.0
15984,400,0,0,0,1050,0,1.0,1510,0,3,47.4698,0,0,6,1450,0,1.0
6990,700,0,0,0,1020,0,1.75,1860,0,3,47.579,0,0,7,1720,0,1.0
