bedrooms,bathrooms,interior_space,floors,see_sea,view_qual,grade,space_above,sqft_basement,yr_renovated,lat,space_int_15,zipcode_98004,zipcode_98006,zipcode_98039,zipcode_98040,zipcode_98112
4,1.0,1610,1.5,0,0,7,1610,0,0,47.587,1610,0,0,0,0,0
3,2.5,2400,1.0,0,2,8,1560,840,0,47.7728,2340,0,0,0,0,0
3,2.0,1450,1.0,0,0,7,1450,0,0,47.7288,1580,0,0,0,0,0
2,1.0,770,1.0,0,0,6,770,0,0,47.6999,1710,0,0,0,0,0
4,1.75,2100,1.5,0,0,7,1720,380,0,47.5299,1850,0,0,0,0,0
3,2.25,2910,2.0,0,0,9,2910,0,0,47.6897,2700,0,0,0,0,0
4,2.75,2750,1.5,0,0,8,1980,770,1992,47.6141,3060,1,0,0,0,0
3,2.25,2100,1.0,0,2,8,1620,480,0,47.5091,2660,0,0,0,0,0
4,2.25,2160,1.0,0,0,8,1360,800,0,47.3129,2090,0,0,0,0,0
5,3.5,2320,2.0,0,0,7,1720,600,0,47.6763,1700,0,0,0,0,0
4,2.5,2070,2.0,0,0,7,2070,0,0,47.5319,1970,0,0,0,0,0
3,1.75,1060,1.0,0,0,7,1060,0,0,47.2761,1420,0,0,0,0,0
4,2.25,2010,1.0,0,0,8,1440,570,0,47.5343,2060,0,0,0,0,0
3,3.5,3950,1.5,0,0,9,2460,1490,0,47.697,2480,0,0,0,0,0
3,2.5,2010,2.0,0,0,8,1390,620,0,47.5517,1690,0,0,0,0,0
4,3.5,2140,3.0,0,0,9,2140,0,0,47.6734,1540,0,0,0,0,0
3,1.75,1320,1.0,0,0,7,1320,0,0,47.3257,1550,0,0,0,0,0
4,1.75,2020,1.0,0,0,7,1010,1010,0,47.3309,1750,0,0,0,0,0
4,2.25,2590,1.0,0,0,8,1340,1250,0,47.7689,1550,0,0,0,0,0
2,1.0,1190,1.0,0,0,6,1190,0,0,47.7135,1060,0,0,0,0,0
3,2.25,1170,3.0,0,0,8,1170,0,0,47.6722,1350,0,0,0,0,0
2,1.0,1110,1.0,0,0,7,1110,0,0,47.6338,1170,0,0,0,0,0
5,2.5,2820,1.0,0,0,8,1550,1270,0,47.5707,2820,0,1,0,0,0
3,1.0,1610,1.0,0,0,7,1010,600,0,47.4563,1610,0,0,0,0,0
3,1.0,1060,1.0,0,0,7,940,120,0,47.7144,1560,0,0,0,0,0
4,2.25,2030,1.0,0,0,8,1380,650,0,47.5495,2230,0,1,0,0,0
4,2.5,3670,2.0,0,0,9,3670,0,0,47.7421,2840,0,0,0,0,0
4,1.0,2550,2.0,0,0,8,2370,180,0,47.6354,2200,0,0,0,0,0
2,2.5,2420,2.0,0,0,7,2420,0,0,47.5262,1940,0,0,0,0,0
5,2.0,2260,1.0,0,0,8,1130,1130,0,47.3887,1360,0,0,0,0,0
3,1.0,1430,1.0,0,0,7,980,450,0,47.6873,1450,0,0,0,0,0
3,2.0,1360,2.0,0,0,8,1360,0,0,47.6838,1500,0,0,0,0,0
3,1.0,1110,1.5,0,0,7,1110,0,0,47.655,1420,0,0,0,0,0
3,1.0,1250,1.0,0,0,7,1250,0,0,47.3255,1680,0,0,0,0,0
4,3.25,5180,2.0,0,3,12,3540,1640,0,47.562,3160,0,1,0,0,0
1,1.0,700,1.0,0,0,7,700,0,0,47.679,1010,0,0,0,0,0
3,1.0,1180,1.0,0,0,7,1180,0,0,47.4479,1190,0,0,0,0,0
5,3.5,3960,2.0,0,0,9,2500,1460,0,47.525,2640,0,0,0,0,0
4,2.75,2640,1.0,0,0,8,1620,1020,0,47.3135,1980,0,0,0,0,0
3,2.0,1270,1.5,0,0,7,1270,0,2013,47.2086,1160,0,0,0,0,0
4,1.75,1760,1.0,0,0,8,1760,0,0,47.4715,1730,0,0,0,0,0
5,2.25,2060,1.0,0,0,7,1030,1030,0,47.4877,1010,0,0,0,0,0
3,1.75,1780,1.0,0,0,7,1780,0,0,47.7171,1200,0,0,0,0,0
3,2.5,3400,2.0,0,0,10,3400,0,0,47.6012,3400,0,0,0,0,0
3,2.75,1910,1.0,0,0,7,1160,750,0,47.7319,1710,0,0,0,0,0
3,2.0,2020,1.0,0,0,7,1010,1010,0,47.4582,2110,0,0,0,0,0
3,1.75,1580,1.0,0,0,7,1180,400,0,47.7209,1640,0,0,0,0,0
2,1.75,1340,1.0,0,0,5,700,640,0,47.408,1830,0,0,0,0,0
4,2.5,2680,2.0,0,0,9,2680,0,0,47.565,2920,0,1,0,0,0
3,2.5,2680,1.0,0,0,8,1610,1070,0,47.7028,2480,0,0,0,0,0
3,2.0,1370,1.0,0,0,7,1370,0,0,47.7458,1770,0,0,0,0,0
3,1.75,1560,1.0,0,0,7,1560,0,0,47.4776,1070,0,0,0,0,0
3,1.75,2160,1.0,0,0,7,1670,490,0,47.3026,1930,0,0,0,0,0
3,1.5,1340,1.5,0,0,7,1340,0,0,47.7658,1480,0,0,0,0,0
4,2.5,3880,2.0,0,0,10,2570,1310,0,47.6477,3740,0,0,0,0,0
4,2.25,2590,2.0,0,0,8,2590,0,0,47.5619,2260,0,1,0,0,0
3,2.5,1120,2.0,0,0,8,820,300,0,47.6106,1590,0,0,0,0,0
5,2.75,1970,1.0,0,0,7,1320,650,0,47.5868,1280,0,0,0,0,0
3,1.0,1220,1.0,0,0,6,1220,0,0,47.6101,1200,0,0,0,0,0
3,1.5,1950,1.0,0,2,7,1320,630,0,47.1976,1950,0,0,0,0,0
2,1.0,1350,1.0,0,0,7,1060,290,0,47.7224,1540,0,0,0,0,0
3,2.5,1670,2.0,0,0,7,1670,0,0,47.3505,1670,0,0,0,0,0
4,3.0,2380,1.5,0,0,7,1680,700,0,47.5384,1410,0,0,0,0,0
4,3.0,2440,2.0,0,0,7,2440,0,0,47.7044,2290,0,0,0,0,0
2,1.5,1050,2.0,0,0,7,1050,0,0,47.3848,1050,0,0,0,0,0
4,2.75,3130,2.0,0,0,9,2140,990,0,47.6993,2260,0,0,0,0,0
5,3.0,4090,1.0,0,2,10,2090,2000,0,47.6627,2540,0,0,0,0,0
4,1.75,1490,1.0,0,0,8,1100,390,0,47.3099,2190,0,0,0,0,0
3,2.5,1900,2.0,0,0,8,1900,0,0,47.62,2030,0,0,0,0,0
4,1.0,1330,1.5,0,0,6,1330,0,0,47.65,1330,0,0,0,0,0
3,2.25,2230,1.0,0,0,8,1430,800,0,47.6647,2230,0,0,0,0,0
3,1.75,1650,1.0,0,0,7,1220,430,0,47.726,1540,0,0,0,0,0
3,1.0,1190,1.0,0,0,6,1190,0,0,47.4616,1230,0,0,0,0,0
3,2.5,2140,1.0,0,0,8,2140,0,0,47.5505,2680,0,0,0,1,0
3,2.5,2180,1.0,0,0,7,1420,760,0,47.7606,1900,0,0,0,0,0
3,1.0,1060,1.0,0,0,7,1060,0,0,47.7481,1570,0,0,0,0,0
3,2.5,1690,2.0,0,0,8,1690,0,0,47.2779,2550,0,0,0,0,0
4,2.0,1970,1.5,0,0,7,1130,840,0,47.5511,1500,0,0,0,0,0
3,2.5,2150,2.0,0,0,8,2150,0,0,47.5488,1750,0,0,0,0,0
3,2.5,1910,2.0,0,0,7,1910,0,0,47.5385,2330,0,0,0,0,0
3,1.75,1350,1.0,0,0,7,1350,0,0,47.4058,1560,0,0,0,0,0
3,1.0,860,1.0,0,0,6,860,0,0,47.5093,1300,0,0,0,0,0
3,2.5,1940,2.0,0,0,8,1940,0,0,47.3777,2030,0,0,0,0,0
3,1.0,1010,1.0,0,0,7,1010,0,0,47.675,1680,0,0,0,0,0
3,1.5,1300,1.0,0,0,7,900,400,0,47.3025,1430,0,0,0,0,0
3,1.0,910,1.0,0,0,6,910,0,0,47.4787,1400,0,0,0,0,0
4,1.75,2480,1.0,0,0,9,1630,850,0,47.5378,2770,0,0,0,1,0
3,2.5,2440,2.0,0,0,8,2440,0,0,47.7073,2750,0,0,0,0,0
3,1.0,1010,1.0,0,0,7,1010,0,0,47.5733,1290,0,0,0,0,0
2,0.75,900,1.0,0,0,6,900,0,0,47.4604,1250,0,0,0,0,0
6,3.0,2300,2.0,0,0,7,1600,700,1994,47.7067,1560,0,0,0,0,0
4,2.25,1550,2.0,0,0,8,1550,0,0,47.354,1630,0,0,0,0,0
3,2.25,1270,2.0,0,0,8,1060,210,0,47.6647,1160,0,0,0,0,0
4,2.5,2240,1.0,0,0,9,2240,0,0,47.6143,2520,0,0,0,0,0
3,2.5,2714,2.0,0,0,9,2714,0,0,47.3185,2590,0,0,0,0,0
4,2.75,1720,2.0,0,0,8,1720,0,0,47.5458,2130,0,0,0,0,0
2,1.0,850,1.0,0,0,6,850,0,0,47.4889,1100,0,0,0,0,0
5,3.0,3300,1.0,0,3,9,1870,1430,1991,47.5673,3836,0,0,0,1,0
3,2.5,2250,2.0,0,0,8,2250,0,0,47.5133,1320,0,0,0,0,0
2,2.25,3900,1.0,0,3,8,1950,1950,0,47.5884,2580,0,0,0,0,0
2,1.5,1320,1.0,0,0,8,1320,0,0,47.7145,2120,0,0,0,0,0
4,2.5,2760,2.0,0,0,10,2760,0,0,47.5836,3070,0,0,0,0,0
3,2.0,1750,1.0,0,0,7,1350,400,0,47.398,1900,0,0,0,0,0
4,2.25,2330,2.0,0,0,8,2330,0,0,47.7663,1910,0,0,0,0,0
3,2.25,2220,1.0,0,0,8,1780,440,0,47.3758,2080,0,0,0,0,0
3,2.25,2020,2.0,0,0,7,2020,0,0,47.3828,2020,0,0,0,0,0
3,2.25,1250,1.0,0,0,7,1250,0,0,47.5123,1280,0,0,0,0,0
2,2.0,1510,1.0,0,0,8,1510,0,0,47.7076,1640,0,0,0,0,0
4,2.25,1720,1.0,0,0,7,1120,600,0,47.2922,1510,0,0,0,0,0
3,1.0,1430,1.0,0,0,7,980,450,0,47.4075,1960,0,0,0,0,0
3,2.5,1480,2.0,0,0,7,1480,0,0,47.6794,2250,0,0,0,0,0
2,1.75,1450,2.0,1,4,7,1230,220,1978,47.4497,2030,0,0,0,0,0
4,2.75,2280,1.0,0,0,7,2280,0,0,47.5218,2280,0,0,0,0,0
6,2.75,2940,1.0,0,0,8,1780,1160,0,47.3103,2120,0,0,0,0,0
2,1.0,1000,1.0,0,0,6,1000,0,0,47.5687,1150,0,0,0,0,0
3,1.5,2480,1.5,0,0,7,1620,860,0,47.5575,2090,0,0,0,0,0
5,4.0,3760,2.0,0,0,10,3760,0,0,47.6489,3430,0,0,0,0,0
3,2.0,2220,1.0,0,0,7,1640,580,0,47.3459,2070,0,0,0,0,0
4,1.0,1970,1.5,0,0,7,1670,300,2005,47.6136,1510,0,0,0,0,0
3,3.5,3830,2.0,0,0,10,3530,300,0,47.7641,2920,0,0,0,0,0
6,2.5,4410,1.0,0,2,9,2350,2060,0,47.3376,2600,0,0,0,0,0
3,1.75,1430,1.0,0,0,7,1430,0,0,47.3173,1190,0,0,0,0,0
2,1.0,830,1.0,0,0,6,830,0,0,47.5308,830,0,0,0,0,0
2,1.0,1430,1.5,0,0,7,1430,0,0,47.6727,1450,0,0,0,0,0
3,1.0,1300,1.0,0,0,6,1300,0,0,47.3221,1260,0,0,0,0,0
2,1.0,1030,1.0,0,2,7,790,240,0,47.6779,1390,0,0,0,0,0
3,2.5,2740,2.0,0,0,9,2740,0,0,47.3076,2570,0,0,0,0,0
4,2.5,3650,1.0,1,4,9,1830,1820,0,47.6338,3120,0,0,0,0,0
2,1.5,720,1.0,0,0,6,720,0,0,47.5218,1150,0,0,0,0,0
4,2.0,2010,1.0,0,0,7,2010,0,0,47.2785,2010,0,0,0,0,0
3,1.75,1560,1.0,0,0,6,770,790,0,47.6846,1390,0,0,0,0,0
3,2.0,1810,1.0,0,0,7,1240,570,0,47.3656,1750,0,0,0,0,0
4,2.5,3360,2.0,0,0,9,3360,0,0,47.4369,3060,0,0,0,0,0
3,2.25,1510,2.0,0,0,8,1510,0,0,47.4616,1730,0,0,0,0,0
3,1.0,1400,1.0,0,0,7,800,600,0,47.5405,1620,0,0,0,0,0
3,2.5,1730,2.0,0,0,7,1730,0,0,47.3507,1630,0,0,0,0,0
2,2.0,1420,1.5,0,2,7,1420,0,0,47.6979,1420,0,0,0,0,0
4,1.75,2360,1.0,0,0,7,1180,1180,0,47.5278,1910,0,0,0,0,0
3,1.75,1580,1.0,0,0,7,1200,380,0,47.4756,1550,0,0,0,0,0
3,1.0,1230,1.0,0,0,7,1230,0,0,47.4437,1380,0,0,0,0,0
4,2.5,2460,2.0,0,0,8,2460,0,0,47.7048,2990,0,0,0,0,0
3,1.0,1660,1.5,0,0,8,1460,200,0,47.6362,1660,0,0,0,0,1
3,1.75,1270,1.0,0,0,7,1270,0,0,47.4207,1600,0,0,0,0,0
3,2.25,2100,2.0,0,0,10,1320,780,0,47.6154,2380,0,0,0,0,0
2,1.0,770,1.0,0,0,5,770,0,0,47.5964,1330,0,0,0,0,0
1,0.75,760,1.0,1,4,5,760,0,0,47.4683,1230,0,0,0,0,0
4,2.5,1700,2.0,0,0,7,1700,0,0,47.4045,1950,0,0,0,0,0
3,1.0,1120,1.0,0,0,7,1120,0,0,47.5544,1130,0,0,0,0,0
2,1.0,1070,1.0,0,0,7,1070,0,0,47.6802,1320,0,0,0,0,0
3,2.5,2070,1.0,0,0,8,1420,650,0,47.2988,2070,0,0,0,0,0
4,3.25,5050,1.5,0,2,11,4750,300,2008,47.6312,3890,1,0,0,0,0
4,4.75,5310,2.0,0,0,11,5310,0,0,47.7285,4180,0,0,0,0,0
2,1.0,1040,1.0,0,0,7,1040,0,0,47.7107,1440,0,0,0,0,0
3,1.0,1700,1.0,0,0,7,1700,0,0,47.3271,1350,0,0,0,0,0
3,1.0,1300,1.0,0,0,7,1300,0,0,47.5053,1320,0,0,0,0,0
3,1.75,1080,1.0,0,0,7,580,500,2003,47.6601,1440,0,0,0,0,0
3,2.5,2653,2.0,0,0,8,2653,0,0,47.4145,2653,0,0,0,0,0
3,2.0,2290,1.0,0,0,8,2290,0,0,47.4672,1660,0,0,0,0,0
4,2.75,3820,2.0,0,0,9,2850,970,0,47.7618,1860,0,0,0,0,0
4,2.5,2210,1.0,0,0,8,2210,0,0,47.3828,2670,0,0,0,0,0
3,1.75,2390,1.0,0,0,6,1240,1150,0,47.5362,2020,0,0,0,0,0
4,1.75,2600,1.0,0,0,7,1610,990,0,47.3954,1720,0,0,0,0,0
2,1.0,860,1.0,0,0,6,860,0,0,47.5048,1650,0,0,0,0,0
5,3.0,3830,2.0,0,1,9,2630,1200,1994,47.6166,3050,0,0,0,0,0
4,2.5,3500,2.0,0,0,9,3500,0,0,47.6811,3920,0,0,0,0,0
3,3.0,2420,1.0,0,0,8,1740,680,0,47.7486,2570,0,0,0,0,0
4,2.5,2720,2.0,0,0,9,2720,0,0,47.3846,2410,0,0,0,0,0
5,2.25,2500,1.0,0,0,7,1850,650,0,47.7564,2300,0,0,0,0,0
3,1.75,1670,1.0,0,0,7,1140,530,0,47.7198,1670,0,0,0,0,0
5,2.25,2900,1.0,0,0,8,1450,1450,0,47.5461,2310,0,1,0,0,0
2,1.0,1640,1.0,0,0,7,1140,500,0,47.5712,1520,0,1,0,0,0
4,2.5,1890,2.0,0,0,7,1890,0,0,47.4281,2410,0,0,0,0,0
4,1.75,2950,1.0,0,2,8,1780,1170,0,47.7128,2120,0,0,0,0,0
4,2.5,2160,2.0,0,0,9,2160,0,0,47.3341,2280,0,0,0,0,0
4,3.0,3280,2.0,0,0,8,2270,1010,0,47.5399,2320,0,0,0,0,0
3,2.0,1970,2.0,0,3,8,1270,700,0,47.5717,2390,0,0,0,0,0
4,2.5,3360,2.0,0,0,10,3360,0,0,47.5951,3150,0,0,0,0,0
3,2.0,1320,1.0,0,0,7,1320,0,0,47.3536,1740,0,0,0,0,0
3,2.5,2650,2.0,0,0,8,2650,0,0,47.5084,2400,0,0,0,0,0
3,1.5,2030,1.0,0,0,7,1330,700,0,47.5586,2140,0,0,0,0,0
3,1.75,1590,1.0,0,2,7,1090,500,0,47.4427,1630,0,0,0,0,0
4,5.0,4550,1.0,1,4,10,2600,1950,0,47.6053,4550,0,0,0,0,0
3,2.5,2440,2.0,0,0,8,2440,0,0,47.3494,2510,0,0,0,0,0
3,2.5,1940,1.0,0,0,7,970,970,0,47.6933,2190,0,0,0,0,0
3,2.5,2040,2.0,0,0,8,2040,0,0,47.3537,2370,0,0,0,0,0
3,2.25,2200,1.0,0,0,7,1120,1080,0,47.476,1460,0,0,0,0,0
3,1.75,1920,1.0,0,0,8,960,960,0,47.6239,1740,0,0,0,0,1
4,2.75,1800,1.0,0,0,8,1400,400,0,47.7776,1800,0,0,0,0,0
4,2.25,2180,2.0,0,0,8,2180,0,0,47.6459,2250,0,0,0,0,0
2,1.0,1010,1.5,0,0,6,1010,0,0,47.6692,1460,0,0,0,0,0
4,2.75,3320,2.0,0,0,8,2220,1100,0,47.5376,2720,0,0,0,0,0
4,2.5,2370,1.5,0,2,8,1980,390,0,47.601,2440,0,0,0,0,0
5,1.75,1660,1.5,0,0,6,1660,0,0,47.529,1660,0,0,0,0,0
5,2.5,3650,2.0,0,4,10,3370,280,0,47.6345,2880,0,0,0,0,0
4,3.25,4290,1.0,0,3,11,2690,1600,0,47.5503,3860,0,1,0,0,0
